Timestamp,Tension,Corriente,totalizado,
2025-06-22T16:21:48.996368,519,17938,541175,9342
2025-06-22T16:21:50.423233,523,15308,556483,9414
2025-06-22T16:21:51.850302,516,15300,571783,9288
2025-06-22T16:21:53.277201,522,15325,587108,9396
2025-06-22T16:21:54.704238,523,15313,602421,9414
2025-06-22T16:21:56.131165,516,15003,617424,9288
2025-06-22T16:21:57.558035,519,15398,632822,9342
2025-06-22T16:21:58.985082,520,14708,647530,9360
2025-06-22T16:22:00.411984,520,14818,662348,9360
2025-06-22T16:22:01.838959,521,14815,677163,9378
2025-06-22T16:22:03.265880,523,14445,691608,9414
2025-06-22T16:22:04.692898,519,15113,706721,9342
2025-06-22T16:22:06.119795,518,15513,722234,9324
2025-06-22T16:22:07.546666,513,15890,738124,9234
2025-06-22T16:22:08.973805,523,15575,753699,9414
2025-06-22T16:22:10.400633,519,15450,769149,9342
2025-06-22T16:22:11.827562,522,15465,784614,9396
2025-06-22T16:22:13.254602,518,15530,800144,9324
2025-06-22T16:22:14.681491,522,15500,815644,9396
2025-06-22T16:22:16.108470,526,15433,831077,9468
2025-06-22T16:22:17.535399,521,15493,846570,9378
2025-06-22T16:22:18.962377,524,15505,862075,9432
2025-06-22T16:22:20.389327,520,15565,877640,9360
2025-06-22T16:22:21.816383,521,15650,893290,9378
2025-06-22T16:22:23.243213,522,15578,908868,9396
2025-06-22T16:22:24.670198,523,16198,925066,9414
2025-06-22T16:22:26.097065,524,15503,940569,9432
2025-06-22T16:22:27.524128,521,17645,958214,9378
2025-06-22T16:22:28.950924,522,16758,974972,9396
2025-06-22T16:22:30.377923,521,18733,993705,9378
2025-06-22T16:22:31.806022,524,17885,1011590,9432
2025-06-22T16:22:33.232909,522,15600,1027190,9396
2025-06-22T16:22:34.659907,520,19075,1046265,9360
2025-06-22T16:22:36.086936,524,15593,1061858,9432
2025-06-22T16:22:37.513632,513,15578,1077436,9234
2025-06-22T16:22:38.940557,523,15625,1093061,9414
2025-06-22T16:22:40.367609,525,15590,1108651,9450
2025-06-22T16:22:41.794705,523,15625,1124276,9414
2025-06-22T16:22:43.221597,520,15788,1140064,9360
2025-06-22T16:22:44.648486,524,15645,1155709,9432
2025-06-22T16:22:46.075493,516,15578,1171287,9288
2025-06-22T16:22:47.502452,521,15698,1186985,9378
2025-06-22T16:22:48.929482,523,15695,1202680,9414
2025-06-22T16:22:50.356383,518,15645,1218325,9324
2025-06-22T16:22:51.783264,520,15575,1233900,9360
2025-06-22T16:22:53.210137,523,15658,1249558,9414
2025-06-22T16:22:54.637210,522,15713,1265271,9396
2025-06-22T16:22:56.064135,519,15720,1280991,9342
2025-06-22T16:22:57.491089,524,15773,1296764,9432
2025-06-22T16:22:58.917978,521,15675,1312439,9378
2025-06-22T16:23:00.345032,524,15683,1328122,9432
2025-06-22T16:23:01.771953,521,15718,1343840,9378
2025-06-22T16:23:03.198907,522,15675,1359515,9396
2025-06-22T16:23:04.625876,520,15718,1375233,9360
2025-06-22T16:23:06.052791,520,15650,1390883,9360
2025-06-22T16:23:07.479726,524,15718,1406601,9432
2025-06-22T16:23:08.906697,520,15733,1422334,9360
2025-06-22T16:23:10.333606,523,16403,1438737,9414
2025-06-22T16:23:11.760577,521,15728,1454465,9378
2025-06-22T16:23:13.187550,521,17398,1471863,9378
2025-06-22T16:23:14.614507,526,16370,1488233,9468
2025-06-22T16:23:16.041453,522,18238,1506471,9396
2025-06-22T16:23:17.468399,525,17478,1523949,9450
2025-06-22T16:23:18.895382,525,18903,1542852,9450
2025-06-22T16:23:20.323221,520,18258,1561110,9360
2025-06-22T16:23:21.751204,521,15720,1576830,9378
2025-06-22T16:23:23.178957,524,18783,1595613,9432
2025-06-22T16:23:24.606536,525,15745,1611358,9450
2025-06-22T16:23:26.034150,518,15798,1627156,9324
2025-06-22T16:23:27.461707,524,15730,1642886,9432
2025-06-22T16:23:28.889165,528,15760,1658646,9504
2025-06-22T16:23:30.316671,518,15768,1674414,9324
2025-06-22T16:23:31.744175,522,15715,1690129,9396
2025-06-22T16:23:33.171565,520,15793,1705922,9360
2025-06-22T16:23:34.598815,521,15793,1721715,9378
2025-06-22T16:23:36.026191,527,17560,1739275,9486
2025-06-22T16:23:37.459731,519,16235,1755510,9342
2025-06-22T16:23:38.880623,525,17435,1772945,9450
2025-06-22T16:23:40.307803,518,15853,1788798,9324
2025-06-22T16:23:41.735167,523,17405,1806203,9414
2025-06-22T16:23:43.162262,522,15798,1822001,9396
2025-06-22T16:23:44.589258,527,17033,1839034,9486
2025-06-22T16:23:46.016521,531,15793,1854827,9558
2025-06-22T16:23:47.443679,520,16928,1871755,9360
2025-06-22T16:23:48.882248,520,15908,1887663,9360
